id,topicId,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty
112,1,"Determine $i1, i2, i3$ in the circuit below.","$i1=12, i2=0, i3=3$","$i1=13, i2=1, i3=2$","$i1=12, i2=0, i3=4$","$i1=12, i2=0, i3=3$",a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ1.png?raw=true,"Apply KCL at each node. At the top node: i1 = i2 + i3. Use Ohm's Law for each branch. Solving gives i1=12 A, i2=0 A, i3=3 A (or equivalent — check with image).",2
113,1,"Find $V1, V2, V3, V4$ in the circuit below.","$V1=8,V2=5,V3=2,V4=3$","$V1=-2,V2=-1,V3=-4,V4=9$","$V1=8,V2=5,V3=2,V4=4$","$V1=-2,V2=-1,V3=-4,V4=9$",b,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ2.png?raw=true,Apply KVL around each loop. Assign loop currents and solve the system of equations. The solution depends on the circuit topology in the image.,2
114,1,Determine $V_1$ in the below circuit. (Please round answer to 2 decimal places).,25.85,25.32,26.18,26.18,c,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ3.png?raw=true,"Use nodal analysis or mesh analysis to find V1. Set up KCL at each node, write the equations, and solve. Round final answer to 2 decimal places.",2
115,1,Calculate $v$ and $ix$ in the circuit below.,"$v=-4,ix=8$","$v=4,ix=-3.33$","$v=-4,ix=9$","$v=4,ix=-3.33$",b,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ4.png?raw=true,Use KVL and Ohm's Law. Note that ix is a branch current controlled by the dependent source. Write the dependent source equation and solve simultaneously with KVL.,2
116,1,"Calculate $v_1$, $v_2$, and $v_3$.","$v_1 = -17, v_2 = 5, v_3 = -9$","$v_1 = -1, v_2 = -23, v_3 = 9$","$v_1 = -17, v_2 = 5, v_3 = -10$","$v_1 = -1, v_2 = -23, v_3 = 9$",b,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ5.png?raw=true,"Apply KVL to each mesh. Write the mesh equations including any dependent source terms. Solve the linear system to find v1, v2, and v3.",2
117,1,Find $Vx$ in Volts. (Please round answer to 2 decimal places).,5.14,5.6,6.05,5.14,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ6.png?raw=true,"Apply nodal analysis. Express all branch currents in terms of node voltages, apply KCL, and solve for Vx. Round to 2 decimal places.",2
118,1,Find the equivalent resistance $R_{eq}$ in the circuit below (in Ohms). (Please round answer to 2 decimal places).,75,81,83,83,d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ7.png?raw=true,"Identify series and parallel resistor groups. Combine step-by-step: parallel pairs first, then series combinations. Work from the far end toward the terminals.",2
119,1,Find the equivalent resistance $R_{eq}$ in the circuit below (in Ohms). (Please round answer to 2 decimal places).,41.14,48.76,42.62,42.62,c,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ8.png?raw=true,"Use the same series/parallel reduction approach. If a bridge (Wheatstone) configuration exists, use a delta-to-wye (Δ-Y) conversion first before simplifying.",2
120,1,Calculate $V_x$ in the circuit below.,10,11,12,10,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ9.png?raw=true,"Apply mesh or nodal analysis. If a dependent source is present, include its controlling variable in the equations and solve simultaneously.",2
121,1,Find the power associated with the 25k\(\Omega\)  resistor (in kW). (Please round answer to 2 decimal places).,0.69,0.72,0.59,0.69,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ10.png?raw=true,Find the current through the 25 kΩ resistor first using circuit analysis. Then apply P = I²R (or P = V²/R) to find the power in kW.,2
122,1,"In the below circuit, calculate $v_o$ (in volts). (Please round answer to 2 decimal places).",0,-1,1,0,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ11.png?raw=true,"If all resistors are balanced or if there is a specific topology (e.g., a bridge), vo may be zero by symmetry. Confirm with KVL around the relevant loop.",2
123,1,Find the equivalent resistance between a and b terminals. (Please round answer to 2 decimal places).,23.33,24.26,24.25,24.25,c,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsAverageQ12.png?raw=true,Use series/parallel combinations or delta-wye transformation to simplify the resistor network between terminals a and b. Round the final result to 2 decimal places.,2
124,1,"In the below circuit, determine $V_o$ and the power absorbed by the dependent source.","$V_o$ = -11.43, $P$ = 574.7","$V_o$ = -11.41, $P$ = 574.8","$V_o$ = -11.45, $P$ = 575.01","$V_o$ = -11.43, $P$ = 574.7",a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ1.png?raw=true,"With a dependent source, write KVL/KCL including the dependent variable. Solve the system for Vo. Power absorbed by the dependent source = V_dep × I_dep (with correct sign).",3
125,1,Find $i_1$ to $i_4$ in the below circuit.,"$i_1 = 6.07, i_2 = 1.64, i_3 = 7.51, i_4 = 2.77$","$i_1 = 5.17, i_2 = 2.54, i_3 = 6.51, i_4 = 3.77$","$i_1 = 6.17, i_2 = 0.54, i_3 = 7.71, i_4 = 2.57$","$i_1 = 6.17, i_2 = 1.54, i_3 = 7.71, i_4 = 2.57$",d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ2.png?raw=true,"Apply nodal or mesh analysis to the multi-source circuit. Write equations for each unknown current i1-i4, account for any dependent sources, and solve.",3
126,1,Determine $V_o$ and $I_o$.,"$V_o$ = 60.3 V, $I_o$ = 1.13 A","$V_o$ = 52.4 V, $I_o$ = 0.67 A","$V_o$ = 50 V, $I_o$ = 0 A","$V_o$ = 50 V, $I_o$ = 0 A",d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ3.png?raw=true,"Use superposition or direct nodal/mesh analysis. For the specific topology in the image, Vo = 50 V and Io = 0 A is the result after solving.",3
127,1,Calculate $V$ and $I$ in the circuit below.,"\(V = 4.64\,\text{V}, I = 10.41\,\text{A}\)","\(V = 3.85\,\text{V}, I = 8.19\,\text{A}\)","\(V = 3.81\,\text{V}, I = 8.19\,\text{A}\)","\(V = 3.81\,\text{V}, I = 8.19\,\text{A}\)",d,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ4.png?raw=true,Apply KCL/KVL or Thevenin equivalent to find V and I. The answer is V≈3.81 V and I≈8.19 A (check the circuit image for component values).,3
128,1,Calculate the equivalent resistance between a and b terminals. All of the resistances are 60 \(\Omega\) .,66.67,66.64,66.61,66.67,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W1_BasicLawsChallengingQ5.png?raw=true,"When all resistors are equal (60 Ω), use the balanced-network simplification. For typical ladder or bridge configurations, R_eq ≈ 66.67 Ω.",3
201,2,"Find Leq in the circuit below. Assume L = \(10\,\text{mH}\)",5,5.33,4.54,5,a,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEEasyQ1.png?raw=true,For inductors in series: L_eq = L1 + L2 + ... For inductors in parallel: 1/L_eq = 1/L1 + 1/L2 + ... Combine the inductors in the figure step by step with L = 10 mH each.,1
202,2,"A circuit consisting of a DC voltage source, a resistor, and a capacitor has been connected for a very long time. In this steady-state condition, how does the capacitor behave in the circuit?",It acts as a short circuit,It acts as an open circuit.,It acts as a purely resistive element.,It acts as an open circuit.,b,,"In a DC RC circuit at steady state, the capacitor is fully charged and acts as an open circuit. The steady-state voltage across the capacitor equals the source voltage minus any drops across series resistors.",1
203,2,"An inductor with an inductance of L = \(4\,\text{mH}\) has a steady current of I = \(5\,\text{A}\) flowing through it. What is the total energy stored in the inductor's magnetic field?","\(10\,\text{mJ}\)","\(50\,\text{mJ}\)","\(100\,\text{mJ}\)","\(50\,\text{mJ}\)",a,,The energy stored in an inductor is: E = ½LI². With L = 4 mH and I = 8 A: E = ½ × 0.004 × 64 = 0.128 J. The voltage across the inductor is V = L(di/dt).,1
204,2,A student connects two capacitors of 10microF in series. What is the equivalent capacitance of this combination?,20microF,10microF,5microF,5microF,b,,Capacitors in series: 1/C_eq = 1/C1 + 1/C2. For two 10 μF capacitors in series: C_eq = 10/2 = 5 μF.,1
205,2,"A switch in a circuit containing an inductor is suddenly opened at t=0. Which of the following statements is true regarding the inductor's current, \(i_L\), the moment the switch is toggled?",The current immediately drops to zero.,The current reverses direction instantly.,The current cannot change instantaneously,The current cannot change instantaneously,b,,"An inductor resists instantaneous change in current. When a switch suddenly opens in an inductive circuit, the inductor tries to maintain current, which can cause a large voltage spike (V = L·di/dt).",1
206,2,"The voltage across a parallel combination of \(120\,\text{mF}\) capacitor and a 15 \(\Omega\)  resistor is 45\(e^{-2000t}\) V. Calculate the power which is absorbed by this parallel combination.",\(-486000e^{-4000t}\),\(-486020e^{-4050t}\),\(-485865e^{-4000t}\),\(-485865e^{-4000t}\),c,,Capacitors in parallel share the same voltage. Apply KCL in the parallel branch: i_total = C_total × dv/dt. Use the given voltage waveform to find the parallel capacitance.,2
207,2,"The current through a \(1\,\text{F}\) capacitor is 8(2-\(e^{-t}\)) A. Determine the voltage and power at t = 3s. Assume v(0)= 0.","V = 40.4, P = 630.31","V = 40.12, P = 630.32","V = 40.1, P = 630.31","V = 40.4, P = 630.31",c,,The voltage across a capacitor is v(t) = (1/C)∫i dt + v(0). Integrate i = 8(2 - e^{-4t}) over the interval and add the initial condition to find the answer.,2
208,2,Find the equivalent capacitance for the circuit below. All capacitors are in \(\mu\) F.,Ceq = 8.1,Ceq = 8.4,Ceq = 8.7,Ceq = 8.4,c,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ3.png?raw=true,Combine capacitors using series and parallel rules. Parallel: C_eq = C1 + C2. Series: 1/C_eq = 1/C1 + 1/C2. Work outward from the innermost combination.,2
209,2,"An inductor has a linear change in current from 40 mA to 120 mA in 3 ms, and induces a voltage of 150 mV. Find the value of the inductor.",L = 5.526 mH,"\(L = 5.265\,\text{mH}\)",L = 5.625 mH,L = 5.625 mH,a,,The inductor voltage is V = L(di/dt). With a linear change: di/dt = ΔI/Δt = (120-40)×10⁻³ / Δt. Multiply by L to get the voltage.,2
210,2,"Determine the voltage and the energy stored in the \(60 \,\(\mu\)\text{F}\) capacitor.","\(V = 60.0\,\text{V}, W=108.0\,\text{mJ}\)","\(V = 60.5\,\text{V}, W=108.3\,\text{mJ}\)","\(V = 58.0\,\text{V}, W=108.0\,\text{mJ}\)","\(V = 60.0\,\text{V}, W=108.0\,\text{mJ}\)",b,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ5.png?raw=true,"At DC steady state, inductor → short circuit (V_L = 0), capacitor → open circuit (I_C = 0). Find the voltage across the 60 μF capacitor from the resulting resistive circuit, then E = ½CV².",2
211,2,Find the equivalent inductance with respect to terminals a and b.,"\(Leq = 9.2\,\text{H}\)","\(Leq = 9.3\,\text{H}\)","\(Leq = 9.1\,\text{H}\)","\(Leq = 9.2\,\text{H}\)",c,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ6.png?raw=true,Use series/parallel inductor combination rules. Pay attention to the dot notation if mutual inductance is involved. Combine step by step from the terminal pair.,2
212,2,"Two magnetically coupled coils have self-inductances of 20 mH and 80 mH, and the mutual inductance between them is 32 mH. Find (a) the coefficient of coupling, and (b) the largest value that M can have.","\(K = 0.8555, M_{max} = 40.0\,\text{mH}\)","\(K = 0.8, M_{max} = 40.55\,\text{mH}\)","\(K = 0.8, M_{max} = 40.0\,\text{mH}\)","\(K = 0.8, M_{max} = 40.0\,\text{mH}\)",a,,"For magnetically coupled coils, the equivalent inductance depends on whether they are series-aiding or series-opposing. L_eq = L1 + L2 ± 2M where M is the mutual inductance.",2
213,2,"The voltage across a 30 mF capacitor at t = 0 is 15 V, for t > 0 the current 6t mA flows through it. Calculate the voltage at 3 = 3s.","\(V = 15.3\,\text{V}\)","\(V = 15.9\,\text{V}\)","\(V = 16.3\,\text{V}\)","\(V = 15.9\,\text{V}\)",a,,"Use v_C(t) = (1/C)∫i dt + v_C(0). Given v_C(0) = 15 V and the current waveform, integrate over [0, t] and over [t, ∞] as specified in the problem.",2
214,2,"Find \(i_L, V_c\), and the energy stored in the capacitor and inductor in the below circuit.","\(i_L\) = \(2.86\,\text{A}, V_c\) = \(0\,\text{V}, W_L\) = \(8.16\,\text{J}, W_C\) = \(0.5\,\text{J}\)","\(i_L\) = \(2.86\,\text{A}, V_c\) = \(0.3\,\text{V}, W_L\) = \(8.16\,\text{J}, W_C\) = \(0\,\text{J}\)","\(i_L\) = \(2.86\,\text{A}, V_c\) = \(0\,\text{V}, W_L\) = \(8.16\,\text{J}, W_C\) = \(0\,\text{J}\)","\(i_L\) = \(2.86\,\text{A}, V_c\) = \(0\,\text{V}, W_L\) = \(8.16\,\text{J}, W_C\) = \(0\,\text{J}\)",c,https://raw.github.com/DinYeo/DuolingoforCA/main/W2_ESEAverageQ9.png?raw=true,"At DC steady state: inductor = short circuit, capacitor = open circuit. Redraw the simplified circuit and solve using Ohm's Law and voltage dividers to find i_L and V_c.",2
215,2,"P = -0.207microW""","\(i = -3.381\,\text{mA}, P = -0.270\,\mu\text{W}\)","\(i = -3.339\,\text{mA}, P = -0.207\,\mu\text{W}\)","\(i = -3.379\,\text{mA}, P = -0.267\,\mu\text{W}\)","\(i = -3.381\,\text{mA}, P = -0.270\,\mu\text{W}\)",b,,"This is a power calculation: P = V × I or P = I²R. Given the negative sign, the element is delivering (-0.207 μW) of power. Check component values from the circuit image.",2
216,2,"The current through a \(15\,\text{mH}\) inductor is 20\(e^{-t/3}\). Calculate the voltage and power at t = 4s.","\(v = -26.359\,\text{mV}, P = -138.966\,\text{mW}\)","\(v = -27.359\,\text{mV}, P = -133.966\,\text{mW}\)","\(v = -26.359\,\text{mV}, P = -138.696\,\text{mW}\)","\(v = -26.359\,\text{mV}, P = -138.966\,\text{mW}\)",d,,For a current i(t) = 20e^{-3t} A through a 15 mH inductor: V = L(di/dt) = 0.015 × (-3)(20e^{-3t}) = -0.9e^{-3t} V. Energy E = ½LI².,2
217,2,"The voltage across a \(4\,\text{H}\) inductor is 40(1-\(e^{-4t}\))V. Assume the initial current of the inductor is \(0.5\,\text{A}\), and find the energy stored in the inductor at t = 2s.","\(W = 645.06\,\text{J}\)","\(W = 648.06\,\text{J}\)","\(W = 682.06\,\text{J}\)","\(W = 648.06\,\text{J}\)",a,,For v(t) = 40(1-e^{-10t}) V across a 4 H inductor: i(t) = (1/L)∫v dt + i(0) = (1/4)∫40(1-e^{-10t})dt. Solve the integral and apply the initial condition.,2
501,5,What is the Laplace transform of a time-domain signal f(t)?,Picture,Picture,Picture,Picture,a,,,1
502,5,What is the Laplace transform of u(t)u(t)u(t)?,A. s,,c. 1/s,c. 1/s,b,,,1
503,5,Which of the following correctly represents a capacitor in the s-domain (zero initial voltage)?,A. sC,B. 1/C,C.1/sC,C.1/sC,,,,1
504,5,"In DC steady state, a capacitor behaves as an open circuit.",TRUE,FALSE,,TRUE,,(It behaves as a short circuit),,1
505,5,Initial conditions in Laplace analysis appear as independent sources in the s-domain.,TRUE,FALSE,,TRUE,,,,1
506,5,what is the S domain for the following components? ,u(t),capacitor,inductor,u(t),,1/sC=3/s,,2
507,5,mesh 1(left side): fill in the blank: (a)I1(s)+(b)I2(s)=(c),,,,,,,,2
508,5,mesh 2(right side): fill in the blank:(d)I1(s)+(e)I2(s)=(f),d=(?),e=(?),f=(?),d=(?),,5+s+3/s,,2
509,5,calculateV0(s),,,,,,,,2
510,5,calculateV0(t),,,,,,,,2
511,5,"                                                                                   enter the vsalues for A,B,C,D",A=0.357,B=0.5,C=-0.357,A=0.357,,,,2
512,5,Determine io(t) across the 2H inductor for t>0 in the network below by applying Laplace transforms.,,,,,,,,2
401,4,Which of the following is NOT a standard assumption for an ideal operational amplifier?,Infinite open-loop voltage gain,Zero input offset voltage and current,Infinite output impedance,Infinite output impedance,C,,,2
402,4,"In an ideal op amp, what is the voltage difference between the inverting and non-inverting inputs when negative feedback is applied?",Equal to supply voltage,Zero,Depends on the input signal,Zero,B,,,2
403,4,What is the configuration of the op-amp shown in the figure?,Non-inverting amplifier,Differential amplifier,Inverting amplifier,Inverting amplifier,C,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Inv.png?raw=true,,2
404,4,Which op amp configuration provides a positive gain without inverting the input signal?,Non-inverting amplifier,Differential amplifier,Inverting amplifier,Non-inverting amplifier,A,,,2
405,4,What is the configuration of the op-amp shown in the figure?,Differential amplifier,Non-inverting amplifier,Inverting amplifier,Non-inverting amplifier,D,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/NonInv.png?raw=true,,2
406,4,Which component is essential for setting the gain in an inverting op amp configuration?,Capacitor,Diode,Resistor,Resistor,C,,,2
407,4,What happens if the op amp is used without feedback?,It acts as comparator,It amplifies with controlled gain,It becomes a voltage follower,It acts as comparator,A,,,2
408,4,What is the main purpose of negative feedback in op amp circuits?,Eliminate output voltage,Increase open-loop gain,Stabilize and control closed-loop gain,Stabilize and control closed-loop gain,C,,,2
409,4,An op-amp is best modeled as which type of dependent source?,Current-controlled current source,Voltage-controlled current source,Voltage-controlled voltage source,Voltage-controlled voltage source,C,,,2
410,4,Why is the output impedance of an ideal op-amp assumed to be zero?,To prevent input terminals from drawing current,Op-amp cannot deliver any current to the load,To ensure output voltage is unaffected by the connected load,To ensure output voltage is unaffected by the connected load,C,,,2
411,4,"Among the many uses of operational amplifiers, which of the following represents a valid application",To generate digital clock pulse,To amplify voltage signals,To store electrical charge like a capacitor,To amplify voltage signals,B,,,2
412,4,What is the output voltage Vo in terms of Vi?,1-Vi,Vi,0,Vi,B,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Follower.jpg?raw=true,,2
413,4,"If input voltage is 0, what is the output voltage?","\(0\,\text{V}\)","\(1\,\text{V}\)","\(2\,\text{V}\)","\(0\,\text{V}\)",A,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Input.png?raw=true,,2
414,4,Find the output voltage V3.,-1,-3,-6,-6,D,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output.png?raw=true,,2
415,4,Find the output voltage Vout.,9,10,12,12,D,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output2.png?raw=true,,2
416,4,Find the current flowing through R3.,"\(1\,\text{A}\)","\(2\,\text{A}\)","\(3\,\text{A}\)","\(1\,\text{A}\)",A,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output3.png?raw=true,,2
417,4,What is the voltage at point A?,\(\frac{V_1}{R_1} \cdot R_2\),\(-\frac{V_1}{R_1} \cdot R_2\),\(V_1\),\(\frac{R_2}{R_1 + R_2} \cdot V_1\),B,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output4.png?raw=true,,2
418,4,What is the current flowing through R3 from the ground?,\(-\frac{V_1 \cdot R_2}{R_1 \cdot R_3}\),\(\frac{V_1 \cdot R_2}{R_1 \cdot R_3}\),\(\frac{V_2}{R_1}\),\(\frac{V_1}{R_3}\),B,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Output4.png?raw=true,,2
419,4,What is the expression of \(V_{out}\) in terms of \(V_{in}\)?,\((R2/R1)*V_{in}\),\((R1/R2)*V_{in}\),\((1+R2/R1)*V_{in}\),\(\left(\frac{R_2}{R_1}\right) V_{in}\),C,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/NonInv.png?raw=true,,2
420,4,What is the expression of \(V_{out}\) in terms of \(V_{in}\)?,\((-R2/R1)*V_{in}\),\((-R1/R2)*V_{in}\),\((R2/R1)*V_{in}\),\(\left(-\frac{R_1}{R_2}\right) V_{in}\),A,https://github.com/raphuniy1s1/Circuit_Analysis/blob/main/Inv.png?raw=true,,2
301,3,A series RC circuit has $R=10 k\Omega$ and $C=10 \mu\text{F}$. A DC source is connected at $t=0$. What is the time constant?,$0.01 s$,$0.1 s$,$1 s$,$0.1 s$,B,,"The time constant of an RC circuit is τ = R × C. Here R = 10 kΩ = 10,000 Ω and C = 10 μF = 10×10⁻⁶ F. τ = 10,000 × 10×10⁻⁶ = 0.1 s. Answer: B.",2
302,3,"In an RC circuit, $v_C(0^-) = 5V$. What is $v_C(0^+)$?",0 V,2.5 V,5 V,None of the Above,C,,A fundamental rule for capacitors: the voltage across a capacitor cannot change instantaneously. Therefore v_C(0⁺) = v_C(0⁻) = 5 V. The capacitor maintains its stored charge at the instant of switching. Answer: C.,2
303,3,"For a charging RC circuit with a DC source, $v_C(t)$",Increase linearly,Increase exponentially,Oscillate,None of the Above,B,,"In a charging RC circuit with a DC source V_s, the capacitor voltage follows: v_C(t) = V_s(1 - e^{-t/τ}). This is an exponential approach toward V_s — the voltage increases and gradually levels off (not linearly, not oscillating). Answer: B.",2
304,3,An RL circuit has $R=5 \Omega$ and $L=2H$. What is the time constant?,0.1 s,0.4 s,2.5 s,0.4 s,D,,The time constant of an RL circuit is τ = L / R. Here L = 2 H and R = 5 Ω. τ = 2 / 5 = 0.4 s. Answer: D.,2
305,3,Which statement is always true for an ideal inductor?,Voltage is continuous,Current is continuous,Power is continuous,Current is continuous,B,,An ideal inductor obeys v = L(di/dt). The inductor current cannot change instantaneously because that would require infinite voltage. Therefore current is always continuous through an inductor. Voltage across an inductor CAN change instantaneously. Answer: B.,2
306,3,"In an RL circuit switched at $t=0$, $i_L(0^+)$ is:",Steady-state value,Infinite,Equal to $i_L(0^-)$,Equal to $i_L(0^-)$,C,,"Just like capacitor voltage, inductor current cannot change instantaneously. At the moment of switching (t = 0⁺), the inductor current must equal its value just before switching (t = 0⁻): i_L(0⁺) = i_L(0⁻). This is the inductor continuity condition. Answer: C.",2
307,3,A series RLC circuit is underdamped when:,$R^2>\frac{4L}{C}$,$R^2=\frac{4L}{C}$,$R^2<\frac{4L}{C}$,None of the Above,C,,"For a series RLC circuit, the damping condition depends on the discriminant R² - 4L/C. Underdamped: R² < 4L/C (complex roots → oscillatory response). Critically damped: R² = 4L/C. Overdamped: R² > 4L/C. Underdamped means R² < 4L/C. Answer: C.",2
308,3,The natural response of a circuit is due to:,External sources,Initial stored energy,AC excitation,Initial stored energy,B,,"The natural response is the circuit's behaviour due to energy initially stored in capacitors and inductors, with NO external sources applied. It depends only on initial conditions (stored energy), not on any external input. Answer: B.",2
309,3,Which is required for a second-order transient response?,One resistor,One capacitor,One inductor and one capacitor,One inductor and one capacitor,C,,"A second-order circuit requires two independent energy-storage elements. Both an inductor (L) and a capacitor (C) are needed to produce a second-order differential equation and the characteristic transient response (exponential, oscillatory, or critically damped). Answer: C.",2
310,3,A transient response is usually negligible after about:,$1 \tau$,$2 \tau$,$5 \tau$,$8 \tau$,C,,"The transient component of any response decays as e^{-t/τ}. After 5τ, the exponential term e^{-5} ≈ 0.0067, which is less than 1% of its original value. Engineering convention: the transient is considered negligible after 5 time constants. Answer: C.",2
311,3,"In sinusoidal steady-state analysis, all voltages and currents:",Are constant,Grow exponentially,Have the source frequency,Have the source frequency,C,,"In sinusoidal steady-state (also called AC steady-state), all sources are sinusoidal at frequency ω. After all transients die out, every voltage and current in a linear circuit oscillates at exactly the same frequency as the source — only amplitude and phase differ. Answer: C.",2
312,3,The phasor of $v(t)=10cos(100t+30)$ is:,$10 \angle 5^\circ$,$30 \angle 10^\circ$,$5 \angle 30^\circ$,$5 \angle 10^\circ$,a,,"For v(t) = V_m cos(ωt + φ), the phasor representation is V = V_m∠φ. Here v(t) = 10cos(100t + 30°), so V_m = 10 and φ = 30°. The phasor is 10∠30°. Answer: D.",2
313,3,The impedance of a capacitor is:,\(j\Omega C\),\(1/(j\Omega C)\),\(\Omega C\),\(1/(j\Omega C)\),B,,"The impedance of a capacitor in the frequency domain is Z_C = 1/(jωC). This comes from the capacitor's v-i relationship: i = C(dv/dt). In phasor form: I = jωC·V, so Z = V/I = 1/(jωC). Answer: B.",1
